id,title,author,text,label
1,Stock market reaches new highs,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
2,Government announces new policy,Fake Media,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
3,Man travels through time,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
4,Scientists discover medical breakthrough,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
5,Education reforms introduced nationwide,,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
6,Government announces new policy,,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
7,Chocolate gives superpowers,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
8,Miracle cure discovered overnight,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
9,Education reforms introduced nationwide,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
10,New technology improves healthcare,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
11,Education reforms introduced nationwide,Rohit Sharma,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
12,Scientists discover medical breakthrough,Fake Media,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
13,Scientists discover medical breakthrough,Internet Rumors,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
14,Scientists discover medical breakthrough,Rohit Sharma,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
15,Scientists discover medical breakthrough,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
16,Government announces new policy,Internet Rumors,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
17,Chocolate gives superpowers,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
18,New technology improves healthcare,Rohit Sharma,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
